Title,Date,Content
"아이디스, 노르마와 양자내성암호(PQC) 영상 보안 솔루션 개발 위한 MOU 체결",2024-05-16 20:47,"양자내성암호 영상 보안 솔루션 개발과 상용화 촉진 초점양자 인공지능 기능 활용한 솔루션 개발도 협력 예정[보안뉴스 엄호식 기자] 아이디스가 양자 컴퓨팅 및 양자 보안 전문 기업 노르마와 손잡고 양자내성암호(PQC) 영상 보안 솔루션 개발을 위한 기반 마련에 나선다. 영상 보안 전문 기업 아이디스는 노르마와 더욱 강화된 보안 솔루션을 선보이기 위해 업무협약(MOU)을 체결하고 양자내성암호 영상 보안 솔루션 개발 분야에서 협력하기로 했다고 16일 밝혔다.▲아이디스가 노르마와 양자내성암호(PQC) 영상 보안 솔루션 개발을 위한 MOU를 체결했다[사진=아이디스]지난 5월 3일 경기도 분당구에 위치한 아이디스 판교 사무소에서 열린 협약식에는 황병국 아이디스 국내사업본부장과 정현철 노르마 대표를 포함한 양사의 임직원들이 참석했다. 2011년 설립된 노르마는 무선 네트워크와 IoT 보안 솔루션을 시작으로 양자 보안과 양자 컴퓨팅으로 기술력을 확장, IoT 보안과 양자 산업 분야를 선도하고 있다. 양사는 이번 MOU를 통해 양자내성암호 영상 보안 솔루션 개발과 상용화 촉진에 초점을 두고 있다. 특히 노르마 대표 양자 제품 라인인 PQC 적용 고성능 SSL VPN ‘Q 케어 커넥트(Q Care Connect)’와 양자 프로그램 개발·실행 지원 환경 ‘Q 플랫폼(Q Platform)’을 활용해 다양한 IoT 분야에 적용하겠다는 계획이다. 나아가 양자 인공지능 기능을 활용한 솔루션 개발도 협력할 예정이다.아이디스 황병국 국내사업본부장은 “노르마와의 MOU 체결은 새로운 암호화 알고리즘인 양자내성암호(PQC)가 떠오르고 있는 상황에서, 그동안 없었던 수준의 하이엔드 양자내성암호 영상보안 솔루션을 새롭게 제시할 수 있는 기회라는 점에서 더욱 의미가 깊다”고 말했다.노르마 정현철 대표는 “양자 컴퓨팅 환경에서 강력한 보안성을 보장하는 PQC 기술로 영상 보안 수준을 한 단계 끌어올릴 수 있을 것이라고 기대한다”며 “아이디스와 영상 보안 분야뿐만 아니라 양자 인공지능 기능을 활용한 솔루션 개발도 협력할 계획”이라고 밝혔다. [엄호식 기자(eomhs@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
"아울시스템즈, 암호화 키관리통합솔루션 ‘PrivacyKMS’ 디지털 이노베이션 대상 수상",2024-05-13 11:32,"PrivacyKMS, 암호화 키 안전하게 생성·저장·보관...기술력 인정받아[보안뉴스 박은주 기자] DB보안 전문기업 아울시스템즈(대표 강병승)의 암호화 키관리통합솔루션 ‘PrivacyKMS’가 ‘2024 제19회 디지털 이노베이션’에서 대상(大賞)을 수상했다고 13일 밝혔다. ▲아울시스템즈 암호화 키관리통합솔루션 ‘PrivacyKMS’가 디지털 이노베이션 대상을 받았다[이미지=아울시스템즈]디지털 이노베이션은 국가 성장 핵심인 IT 산업과 그 외 신산업의 중요성에 대한 인식을 전국민적으로 확산하고, 지식 정보 국가 건설에 기여하고자 제정하는 행사로 과학기술정보통신부에서 후원하고 있다. IT 산업에서 혁신적 경쟁력을 갖춘 우수 기업을 발굴하고 시상해 관련 업계 기술 개발 촉진 및 발전을 도모하기 위해 힘쓰고 있다. 또한, 최첨단 기술 및 차별화된 제품 개발을 촉진해 관련 산업에 대한 범국가적 관심 제고와 유관 산업의 사기진작을 위해 마련됐다.이번 심사에는 총 380여개 신청 기업 가운데 71개 업체가 최종 선정됐다. 평가 항목은 자체 기술 연구소 보유 여부, R&D 인력과 비용, 수상 및 인증 실적을 비롯해 기술 경쟁력과 파급효과 등으로, 솔루션의 기술을 비롯해 기업 개발 노력과 산업에서 영향까지 다각도에서 심사한다.‘PrivacyKMS’는 데이터베이스 암호화 키를 관리하는 솔루션으로, 암호화 키를 안전하게 생성·저장·보관한다. 키를 사용할 때 저장된 키를 암호화해 업무 서버에 제공하는 Appliance 타입 서버 일체형 키 격리 보관 전용 장비이다. 한국인터넷진흥원에서 권고하는 키 라이프 사이클 관리 사항을 준수하고 있다. 아울시스템즈 강병승 대표는 “PrivacyKMS는 지난 4월 GS인증 1등급 인증을 획득한 데 이어 이번 디지털 이노베이션 대상 수상으로 다시 한번 기술력을 인정받았다”며 “아울시스템즈는 앞으로도 서비스 고도화와 함께 DB 보안 기술을 선도할 솔루션을 개발하며 더욱 다양한 분야 기업에 서비스를 제공할 예정”이라고 전했다.[박은주 기자(boan5@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
"VPN 트래픽 훔쳐볼 수 있게 해 주는 새 공격 기법, 터널비전",2024-05-09 16:02,"요약 : 보안 블로그 시큐리티어페어즈에 의하면 VPN을 우회할 수 있는 새로운 공격 기법이 발견됐다고 한다. 이름은 터널비전(TunnelVision)이며, 이 공격에 성공할 경우 공격자는 피해자 VPN이 오작동을 일으켜 일부 패킷을 암호화하지 않도록 강제할 수 있게 된다고 한다. 이것이 가능한 건 DHCP(동적 호스트 구성 프로토콜)의 설계 오류(CVE-2024-3661) 때문이다. 특정 유형의 정보가 인증 과정을 거치지 않는 것이 이 취약점의 기본 내용이다. 피해자와 같은 네트워크에 접속할 수 있게 된다면 이 취약점을 악용해 공격자가 피해자의 DHCP 서버가 될 수 있다.[이미지 = gettyimagesbank]배경 : 공격자가 피해자의 DHCP 서버가 된다는 건, VPN을 통과하는 트래픽을 중간에서 가로챌 수 있다는 뜻이 된다. 그러면서도 그 트래픽이 정상적인 게이트웨이를 통과하도록 하기 때문에 발각될 위험이 낮아진다. 공격이 진행되는 동안에도 VPN이 정상적으로 연결되어 있으며, 그렇기 때문에 알아채기가 힘들다고 한다. IP 라우팅을 기반으로 하는 모든 VPN 시스템들에 통하는 공격 기법이다.말말말 : “모든 VPN 제품들을 다 시험해본 건 아닙니다. 그렇기에 VPN들이 죄다 위험하다고 말하기는 힘듭니다만 어느 정도 파급력이 있는 문제로 여겨집니다.” -레비아탄시큐리티(Leviathan Security)-[국제부 문가용 기자(globoan@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
"펜타시큐리티, ‘디아모’ 신버전 출시, 클라우드 네이티브 완벽 지원",2024-05-08 09:41,"통합 관리 시스템 ‘디아모 컨트롤 센터’ 중심으로 암호 플랫폼 개념 적용[보안뉴스 박은주 기자] 사이버보안 전문기업 ‘펜타시큐리티’가 클라우드 네이티브 환경을 완벽하게 지원하는 자사의 암호 플랫폼 ‘디아모(D’Amo)’ 신규 v5.0 버전을 출시했다.▲암호 플랫폼 디아모가 클라우드 네이티브를 지원하는 신규 v5.0 버전을 출시했다.[이미지=펜타시큐리티]올해로 20주년을 맞이한 암호 플랫폼 ‘디아모’는 지난 17년간 누적 조달 점유 55%를 확보하는 등 출시 후 지금까지 암호화 시장을 이끄는 펜타시큐리티 대표 상품이다. 이번에 공개한 디아모 v5.0은 클라우드 네이티브 환경에서 가장 중요한 안정성, 확장성, 신속성을 대폭 향상한 기능 및 성능을 업그레이드했다.클라우드 네이티브 마이크로서비스는 그 특성상 안정적인 암호화 적용이 어렵다고 알려져 있다. 디아모 v5.0은 수백 대 제품을 간편하게 설치·관리할 수 있는 통합 관리 시스템 ‘디아모 컨트롤 센터’를 중심으로 안정적으로 암호 플랫폼 개념을 적용할 수 있도록 설계했다. 오토 스케일링 등 자동 확장 및 배포, 기존 VM 이미지 방식을 컨테이너 기반으로 전환, OS 종속도를 최소화해 인프라 의존성 해소, 정책 서버 통합, 3중 백업 등 기능 개선을 통해 안정적인 클라우드 네이티브 솔루션으로 거듭났다.펜타시큐리티 정태준 기획실장은 “디지털플랫폼정부 사업에 대거 예산을 투입하는 등 정부가 클라우드 네이티브 전환을 본격화하는 중에, 보안의 기본인 데이터 암호화 적용이 난해한 상황”이라고 지적하고, “완벽하게 클라우드 네이티브 환경을 지원하는 디아모로 민간·공공 시장 모두에 안정적인 암호화를 제공하겠다”고 말했다.[박은주 기자(boan5@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
"디비니티 랜섬웨어, 모든 드라이브 암호화와 바탕화면 변경하는 공격중",2024-05-07 16:53,"에브리존 화이트디펜더, 디비니티(divinity) 랜섬웨어 침해사고 분석‘.divinity’ 확장자로 모든 파일 암호화...암호화 해제하려면 비트코인으로 몸값 지불해야[보안뉴스 김영명 기자] 감염된 컴퓨터 내 모든 파일을 ‘.divinity’ 확장자로 암호화하는 형태로 추정되는 침해사고가 발생하고 있다. 해당 랜섬웨어는 확장자 명에 맞춰 ‘디비니티(divinity)’라고 하며 ‘파일명.확장자.divinity’ 형식으로 모든 파일을 변경하고 있는 모습을 보이고 있다.▲디비니티 랜섬웨어에 감염된 후 변경된 바탕화면[자료=에브리존 화이트디펜더]에브리존 안티랜섬웨어 화이트디펜더가 분석한 정보에 따르면 디비니티 랜섬웨어는 C++ 기반의 랜섬웨어이며, 실행 시 공격 대상 컴퓨터 내 모든 드라이브에 대해 암호화를 진행한다. 암호화를 마친 다음에는 ‘Error’라는 이름으로 메시지 창이 출력된다. 이 메시지 창에는 ‘Your files have been encrypted by divinity ransomware’라는 내용이 쓰여 있으며, 피해자에게 텔레그램이나 트위터로 연락하라고 주고를 남기고 있다. 이어 임시 폴더에 생성된 이미지로 바탕화면을 임의로 변경한다. 디비니티 랜섬웨어 감염 후 모습과 랜섬노트 내용 안내 파일은 각각의 경로에 ‘ReadMe.txt’ 파일과 ‘ReadMe.html’ 파일, ‘ReadMe.bmp’ 파일 등이 생성되며, 암호화 진행 시 ‘파일명.확장자.divinity’로 파일들을 바꾸고 있다.▲디비니티 랜섬웨어에 감염된 후 남겨진 랜섬노트[자료=에브리존 화이트디펜더]디비니티 랜섬웨어에 감염되면 랜섬노트는 ‘HOW TO DECRTYPT FILES.txt’라는 메모장 파일로 생성된다. 또한 PC의 모든 파일이 암호화돼 열 수 없으며, 파일 잠금을 해제하기 위한 몸값을 대부분 비트코인으로 지불할 것을 요구한다.한편, 한국인터넷진흥원에서 안내하는 랜섬웨어 감염을 최소화하는 예방법으로는 서버 백신·접근통제 소프트웨어 등 서버 보안제품을 도입하고, 악성코드 감염 및 데이터 위·변조를 차단하는 ‘시스템 보호환경 구축’ 등이 있다. 또한 운영체제, 웹브라우저, 브라우저 플러그인 및 응용 프로그램의 소프트웨어 취약점에 대한 ‘취약점 관리 및 패치’, 워드파일의 매크로 실행 등 허가되지 않은 코드의 실행 방지 및 관리자 승인 없이 사용자가 소프트웨어 설치 금지 등 ‘실행코드 제어’가 요구된다. 이와 함께 보안정보를 활용해 불명확한 사이트에 대한 접근을 차단하거나 필터링하는 ‘웹 브라우저 트래픽 필터링’, 이동식 매체의 사용 제한, 공식적인 이동식 매체 발급, 이동식 매체에 대한 악성코드 검사 및 자동실행기능 비활성화 등을 통한 ‘이동식 매체 접근 통제’, 메일 보안 솔루션 도입 등을 통해 악성코드가 첨부된 스팸메일의 내부 유입을 차단하는 ‘스팸메일 차단’ 등이 있다. [김영명 기자(boan@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
"KISA, 암호모듈검증 시험평가 컨설팅 무료 지원!",2024-05-07 16:34,"KISA, 영세·중소기업 대상, 오는 5월 23일(목)까지 접수[보안뉴스 김경애 기자] 암호모듈검증을 준비하는 영세·중소기업을 대상으로 암호모듈검증 시험평가 무료 컨설팅이 진행돼 관심이 모아지고 있다. 한국인터넷진흥원(KISA, 원장 이상중)은 과학기술정보통신부, 국가정보원과 함께 영세·중소기업을 대상으로 암호모듈검증 시험평가 무료 컨설팅 참여기업을 7일부터 모집한다고 밝혔다.암호모듈검증은 국가·공공기관에서 소통되는 자료를 보호하기 위해 암호모듈의 안정성과 구현 적합성을 검증하는 제도다. 국가·공공 망에서 암호 관련 제품군을 사용하기 위해서는 검증받은 모듈을 필수로 탑재해야 한다.영세·중소기업은 암호모듈의 중요성을 알고 있지만 암호 전문 인력 및 예산 부족, 지원사업 부재 등으로 인해 기술력 확보와 사업 확장에 어려움을 겪고 있다.이에 KISA는 암호모듈검증을 준비하는 영세·중소기업을 선정해 △시험평가 사전준비 환경 구축 지원 △암호모듈 설계·구현 기술 전수 △제출물 문서 작성 교육 △암호모듈 검증기준 해석 등 기업별 맞춤형 컨설팅을 지원하고자 한다.특히, 쉽고 빠르게 암호모듈을 개발하고 완성도를 높일 수 있도록 제출물 작성 안내서와 검증대상 암호 알고리즘별 시험 요구사항을 만족하는 소스코드가 내재된 암호모듈 샘플을 제공한다. 지난해 컨설팅을 받은 수혜기업은 설문조사에서 암호모듈 개발 소요 기간 및 비용 측면에서 절감 효과가 있었다. 모듈 개발을 통한 사업 확장뿐만 아니라 체계적인 컨설팅을 통해 암호 인력을 양성할 수 있었다고 응답했다.신청은 암호모듈검증에 관심 있는 영세·중소기업이면 누구나 7일(화)부터 23일(목)까지 이메일로 접수할 수 있으며, 자세한 내용은 암호이용활성화 누리집을 통해 확인할 수 있다.KISA 황보성 보안기술단장은 “이번 컨설팅을 통해 영세·중소기업이 효율적인 모듈 개발과 기준 해석 어려움 등의 애로사항을 해소할 것으로 기대한다”며, “KISA는 암호 시장 확대를 위해 컨설팅 외에도 전문교육, 시험자 양성교육, 암호모듈 사전검증 서비스 등 다방면으로 지원할 계획”이라고 밝혔다.[김경애 기자(boan3@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
"락싯블랙드 랜섬웨어, ‘.KJHEJgtkhn’ 확장자로 모든 파일 암호화하며 확산",2024-04-30 15:05,"에브리존 화이트디펜더, 락싯블랙드 랜섬웨어 분석 및 주요 특징 소개닷넷 기반 카오스 계열...윈도 기본 복원과 오류 알림 및 작업관리자 비활성화윈도 설정 언어가 아제르바이잔어-라틴어일 경우 랜섬웨어 실행 안 되는 특징 보여[보안뉴스 김영명 기자] 최근 모든 파일을 ‘.KJHEJgtkhn’ 확장자로 암호화하는 형태로 추정되는 침해사고가 발생했다. 해당 랜섬웨어는 락싯(LockShit)이라고 하며 ‘파일명.확장자.KJHEJgtkhn’ 형식으로 감염된 시스템의 모든 파일을 변경하고 있는 모습을 보이고 있다.▲특정 지역에서는 작동하지 않도록 처리된 정적 코드[자료=에브리존 화이트디펜더]에브리존 안티랜섬웨어 화이트디펜더(WhiteDefender)가 분석한 락싯블래드(LockShit BLACKED) 랜섬웨어 침해 행위 프로세스를 보면, 이 랜섬웨어는 닷넷 기반의 카오스 계열 랜섬웨어로 마이크로소프트 윈도(Windows)에 세팅된 현재 언어가 ‘az-Latn-AZ’(아제르바이잔어-라틴어)인 경우에는 랜섬웨어가 실행되지 않으며, 최초 실행할 때 Appdata\Roaming으로 복사한 후 관리자 권한으로 재실행한다. 재실행이 되면, 실행되는 랜섬웨어의 이름 확인을 통한 중복 실행 방지와 레지스트리에 특정 값 등록을 통한 중복 암호화 기능이 적용돼 있으며, 쉐도우 복사본과 백업 카탈로그를 삭제하고 윈도 기본 복원 및 오류 알림과 작업관리자를 비활성화한다. 백업관련 서비스를 확인해 서비스 중지 명령 후 암호화를 진행하며 루트드라이버는 일부 폴더를 예외하고 네트워크 공유를 포함한 추가 드라이브는 암호화 진행 및 랜섬웨어 실행 파일을 각각의 루트에 복사한다.▲락싯블랙드 랜섬웨어가 남긴 랜섬노트[자료=에브리존 화이트디펜더]락싯블랙드 랜섬웨어에 감염된 후의 모습과 랜섬노트 내용 안내 파일은 각각의 경로에 ‘ReadMe.txt’, ‘ReadMe.html’, ‘ReadMe.bmp’가 생성되며, 암호화를 진행하면서 ‘.KJHEJgtkhn’ 확장자로 파일들을 변경한다. 락싯블랙드 랜섬웨어에 감염됐을 때 증상은 PC의 모든 파일이 암호화돼 열 수 없고, 몸값을 요구하는 랜섬노트 메시지가 .html, .txt, .hat 확장자로 데스크톱에 표시된다. 감염된 파일의 잠금을 해제하려면 몸값을 지불해야 하는데 대부분 비트코인을 요구하고 있다. [김영명 기자(boan@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
"FBI, 무허가 암호화폐 거래소 이용 자제 권고문 발표",2024-04-26 13:01,"요약 : 보안 외신 블리핑컴퓨터에 의하면 FBI가 오늘 무허가 암호화폐 송금 서비스의 사용을 자제하라는 권고를 발표했다고 한다. 금융서비스사업자(MSB)을 받거나, 자금세탁방지법을 준수하고 있다는 공식 인증이 있는 곳에서만 암호화폐 송금을 해야 안전하다고 FBI는 강조했다. 법적으로 그런 서비스 이용을 금하겠다는 건 아니고, 자금의 안전을 보장받을 수 없다는 게 FBI가 강조한 내용이다. 암호화폐의 안전한 송금을 위해서 취해야 할 조치들을 같이 발표하기도 했다.  [이미지 = gettyimagesbank]배경 : 암호화폐 거래를 대행해준다고 하면서 이러한 표준 승인을 밟지 않는다는 건 사실상 범죄자들의 돈을 처리해준다는 것이나 다름 없다고 중앙에서는 보고 있다. 실제로 많은 암호화폐 거래소 및 믹서 서비스들이 범죄 자금 세탁에 연루되어 있다가 법의 망치를 맞곤 한다. 이 과정에서 자금이 압수되거나 사업체가 파산할 수 있는데, 그랬을 때 생기는 개개인의 피해를 FBI가 보상해주지 않는다는 것이 이번 권고문의 골자라고 할 수 있다.말말말 : “법으로 정해진 금융 서비스의 기본 책무를 다 지키지 않는 곳을 이용할 경우 자금 손실의 위험성이 매우 커집니다.” -FBI-[국제부 문가용 기자(globoan@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
"미국 사법부, 암호화폐 믹서 서비스 운영자 기소 및 체포",2024-04-25 12:01,"요약 : 보안 외신 블리핑컴퓨터에 의하면 미국 사법부가 두 명의 인물을 기소했다고 한다. 사무라이(Samourai)라는 암호화폐 믹서 서비스의 운영자들로, 여러 범죄 조직의 돈 세탁에 관여했다는 의혹 때문이다. 이들은 이미 10년 가까이 이 서비스를 운영했다고 하며, 그 동안 1억 달러가 넘는 자금을 세탁하는 데 일조했다고 사법부는 주장했다. 이 과정에서 두 운영자는 400만에서 500만 달러에 달하는 수익을 얻은 것으로 추정된다. 미국 사법부의 요청에 따라 아이슬란드 경찰은 사무라이의 웹 서버와 도메인 두 개를 폐쇄했으며, 구글은 자사 플레이 스토어에서 사무라이의 모바일 앱을 삭제하기도 했다. 한 명은 이미 미국에서 체포됐으며, 다른 한 명은 포르투갈 경찰이 체포했다. [이미지 = gettyimagesbank]배경 : 암호화폐라는 것 자체가 익명성 때문에 범죄 자금으로서 널리 활용되고 있는데, 그런 암호화폐를 서로 섞어서 출처를 불분명하게 만드는 서비스이니 믹서는 태생부터 사이버 범죄자들을 위한 서비스일 수밖에 없다. 실제로 많은 자금들이 믹서 서비스를 통과해 세탁되고 있으며, 일부 서비스 업자들은 사이버 범죄자들과 모종의 계약을 맺어 세탁할 자금을 유치하기도 한다. 말말말 : “사무라이는 ‘프라이버시를 존중한다’고 스스로를 홍보하고 있습니다만, 사실은 범죄자들의 은신처와 같은 역할을 했을 뿐입니다.” -미국 사법부-[국제부 문가용 기자(globoan@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
"북한의 킴수키, 백신 업데이트 과정에 개입해 멀웨어 유포",2024-04-25 11:59,"요약 : 보안 외신 시큐리티위크에 의하면 북한의 해커들이 멀웨어를 유포하기 위해 백신 업데이트 과정에 개입했다고 한다. 문제의 해킹 조직은 킴수키이며, 이들이 하이재킹한 백신은 이스캔(eScan)이라고 보안 업체 어베스트(Avast)가 발표했다. 이에 따르면 이스캔의 업데이트 과정에 취약점이 있었고, 킴수키가 이를 익스플로잇 함으로써 마치 자신들이 배포하는 멀웨어가 실제 이스캔의 업데이트 파일인 것처럼 내보냈다고 한다. 킴수키가 유포한 멀웨어는 굽티마이너(GuptiMiner)로, 2018년부터 활용되어 온 공격 도구다. 두 개의 백도어를 비롯해 여러 가지 악성 페이로드로 구성되어 있는 패키지다. 그 외에 XM리그(XMRig)라는 암호화폐 채굴 코드가 유포된 경우도 있다고 한다.[이미지 = gettyimagesbank]배경 : 이 문제가 발견되고 이스캔 측에 제보된 것은 작년의 일이다. 이스캔도 이를 접수하여 이미 작년에 취약점을 해결한 상황이라고 한다. 하지만 지금까지도 같은 공격이 이어지고 있다고 하며, 어베스트는 이에 대하여 일부 클라이언트 단의 업데이트가 제대로 이뤄지지 않은 것으로 보인다고 추정하고 있다. 굽티마이너는 여러 가지 공격을 가능하게 하기 때문에 공격자들 사이에서 인기가 높은 편이며, 방어자들에게는 까다로운 위협으로 손꼽힌다. 말말말 : “굽티마이너는 그저 또 하나의 멀웨어가 아닙니다. 여러 도구들이 복합되어 있는 선물세트와 같습니다. 이거 하나로 공격자들은 여러 가지 공격을 실시할 수 있습니다.” -어베스트-https://www.securityweek.com/north-korean-hackers-hijack-antivirus-updates-for-malware-delivery[국제부 문가용 기자(globoan@boannews.com)]<저작권자: 보안뉴스(www.boannews.com) 무단전재-재배포금지>"
